Connector , Node662 , weight = 0
Connector , Node-985 , weight = 0
Connector , Node751 , weight = 0
Connector , Node-289 , weight = 0
Connector , Node-88 , weight = 0
Connector , Node-3 , weight = 0
Connector , Node738 , weight = 0
Connector , Node-3 , weight = 0
Connector , Node311 , weight = 0
Connector , Node-802 , weight = 0
Connector , Node-661 , weight = 0
Connector , Node891 , weight = 0
Connector , Node641 , weight = 0
Connector , Node-499 , weight = 0
Connector , Node-613 , weight = 0
Connector , Node874 , weight = 0
Connector , Node129 , weight = 0
Connector , Node-684 , weight = 0
Connector , Node638 , weight = 0
Connector , Node174 , weight = 0
Connector , Node-593 , weight = 0
Connector , Node-63 , weight = 0
Connector , Node-497 , weight = 0
Connector , Node201 , weight = 0
Connector , Node-170 , weight = 0
Connector , Node-272 , weight = 0
Connector , Node-626 , weight = 0
Connector , Node902 , weight = 0
Connector , Node-394 , weight = 0
Connector , Node-964 , weight = 0
Connector , Node965 , weight = 0
Connector , Node-794 , weight = 0
Connector , Node265 , weight = 0
Connector , Node551 , weight = 0
Connector , Node564 , weight = 0
Connector , Node462 , weight = 0
Connector , Node-276 , weight = 0
Connector , Node-789 , weight = 0
Connector , Node-797 , weight = 0
Connector , Node525 , weight = 0
Connector , Node165 , weight = 0
Connector , Node725 , weight = 0
Connector , Node539 , weight = 0
Connector , Node777 , weight = 0
Connector , Node-586 , weight = 0
Connector , Node-913 , weight = 0
Connector , Node-103 , weight = 0
Connector , Node529 , weight = 0
Connector , Node606 , weight = 0
Connector , Node-483 , weight = 0
Connector , Node-51 , weight = 0
Connector , Node-247 , weight = 0
Connector , Node-349 , weight = 0
Connector , Node-102 , weight = 0
Connector , Node-716 , weight = 0
Connector , Node296 , weight = 0
Connector , Node685 , weight = 0
Connector , Node-832 , weight = 0
Connector , Node-455 , weight = 0
Connector , Node-227 , weight = 0
Connector , Node636 , weight = 0
Connector , Node-769 , weight = 0
Connector , Node-985 , weight = 0
Connector , Node233 , weight = 0
Connector , Node49 , weight = 0
Connector , Node926 , weight = 0
Connector , Node288 , weight = 0
Connector , Node38 , weight = 0
Connector , Node520 , weight = 0
Connector , Node793 , weight = 0
Connector , Node259 , weight = 0
Connector , Node927 , weight = 0
Connector , Node494 , weight = 0
Connector , Node974 , weight = 0
Node-769 , Node89, Weight: 605
Node45 , Node126, Weight: 209
Node126 , Node45, Weight: 0 
Node126 , Node10, Weight: 1
Node10 , Node126, Weight: 0 
Node10 , Node145, Weight: 142
Node145 , Node10, Weight: 0 
Node145 , Node51, Weight: 38
Node51 , Node145, Weight: 0 
Node-769 , Node-769', Weight: 3442
Node-918 , Node-117, Weight: 819
Node-84 , Node35, Weight: 311
Node35 , Node-84, Weight: 0 
Node35 , Node47, Weight: 355
Node47 , Node35, Weight: 0 
Node47 , Node40, Weight: 548
Node40 , Node47, Weight: 0 
Node40 , Node-116, Weight: 819
Node-116 , Node40, Weight: 0 
Node-116 , Node0, Weight: 265
Node0 , Node-116, Weight: 0 
Node0 , Node124, Weight: 26
Node124 , Node0, Weight: 0 
Node124 , Node-135, Weight: 310
Node-135 , Node124, Weight: 0 
Node-135 , Node-141, Weight: 761
Node-141 , Node-135, Weight: 0 
Node-141 , Node-92, Weight: 311
Node-92 , Node-141, Weight: 0 
Node-92 , Node14, Weight: 2752
Node14 , Node-92, Weight: 0 
Node14 , Node125, Weight: 90
Node125 , Node14, Weight: 0 
Node125 , Node-27, Weight: 87
Node-27 , Node125, Weight: 0 
Node-918 , Node-918', Weight: 7902
Node15 , Node0, Weight: 2256
Node144 , Node41, Weight: 524
Node41 , Node144, Weight: 0 
Node41 , Node-34, Weight: 579
Node-34 , Node41, Weight: 0 
Node-34 , Node80, Weight: 489
Node80 , Node-34, Weight: 0 
Node80 , Node110, Weight: 1009
Node110 , Node80, Weight: 0 
Node110 , Node7, Weight: 209
Node7 , Node110, Weight: 0 
Node7 , Node50, Weight: 6
Node50 , Node7, Weight: 0 
Node50 , Node-42, Weight: 62
Node-42 , Node50, Weight: 0 
Node-42 , Node-133, Weight: 43
Node-133 , Node-42, Weight: 0 
Node-133 , Node-44, Weight: 690
Node-44 , Node-133, Weight: 0 
Node-44 , Node10, Weight: 1
Node10 , Node-44, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node96, Weight: 230
Node96 , Node10, Weight: 0 
Node96 , Node10, Weight: 1
Node10 , Node96, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node91, Weight: 225
Node91 , Node10, Weight: 0 
Node91 , Node10, Weight: 1
Node10 , Node91, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node-8, Weight: 215
Node-8 , Node10, Weight: 0 
Node-8 , Node10, Weight: 1
Node10 , Node-8, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node-122, Weight: 484
Node-122 , Node10, Weight: 0 
Node-122 , Node10, Weight: 1
Node10 , Node-122, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node-88, Weight: 609
Node-88 , Node10, Weight: 0 
Node-88 , Node10, Weight: 1
Node10 , Node-88, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node-22, Weight: 124
Node-22 , Node10, Weight: 0 
Node-22 , Node10, Weight: 1
Node10 , Node-22, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node0, Weight: 2246
Node0 , Node10, Weight: 0 
Node0 , Node10, Weight: 1
Node10 , Node0, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node141, Weight: 370
Node141 , Node10, Weight: 0 
Node141 , Node10, Weight: 1
Node10 , Node141, Weight: 0 
Node10 , Node3, Weight: 7
Node3 , Node10, Weight: 0 
Node3 , Node10, Weight: 1
Node10 , Node3, Weight: 0 
Node10 , Node-7, Weight: 354
Node-7 , Node10, Weight: 0 
Node-7 , Node10, Weight: 1
Node10 , Node-7, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node-21, Weight: 233
Node-21 , Node10, Weight: 0 
Node-21 , Node10, Weight: 1
Node10 , Node-21, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node-67, Weight: 145
Node-67 , Node10, Weight: 0 
Node-67 , Node10, Weight: 1
Node10 , Node-67, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node39, Weight: 141
Node39 , Node10, Weight: 0 
Node39 , Node10, Weight: 1
Node10 , Node39, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node54, Weight: 622
Node54 , Node10, Weight: 0 
Node54 , Node10, Weight: 1
Node10 , Node54, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node42, Weight: 427
Node42 , Node10, Weight: 0 
Node42 , Node10, Weight: 1
Node10 , Node42, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node10, Weight: 1
Node10 , Node10, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node-101, Weight: 2423
Node-101 , Node10, Weight: 0 
Node-101 , Node10, Weight: 1
Node10 , Node-101, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node-68, Weight: 437
Node-68 , Node10, Weight: 0 
Node-68 , Node10, Weight: 1
Node10 , Node-68, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node19, Weight: 192
Node19 , Node50, Weight: 0 
Node19 , Node0, Weight: 2246
Node0 , Node19, Weight: 0 
Node0 , Node50, Weight: 6
Node50 , Node0, Weight: 0 
Node50 , Node0, Weight: 2246
Node0 , Node50, Weight: 0 
Node0 , Node-71, Weight: 442
Node-71 , Node0, Weight: 0 
Node-71 , Node10, Weight: 1
Node10 , Node-71, Weight: 0 
Node10 , Node50, Weight: 6
Node50 , Node10, Weight: 0 
Node50 , Node108, Weight: 181
Node108 , Node50, Weight: 0 
Node108 , Node50, Weight: 6
Node50 , Node108, Weight: 0 
Node50 , Node29, Weight: 676
Node29 , Node50, Weight: 0 
Node29 , Node50, Weight: 6
Node50 , Node29, Weight: 0 
Node50 , Node10, Weight: 1
Node10 , Node50, Weight: 0 
Node10 , Node20, Weight: 121
Node20 , Node10, Weight: 0 
Node20 , Node10, Weight: 1
Node10 , Node20, Weight: 0 
Node10 , Node0, Weight: 2246
Node0 , Node10, Weight: 0 
Node15 , Node15', Weight: 14927
Node-968 , Node-108, Weight: 1053
Node-43 , Node104, Weight: 488
Node104 , Node-43, Weight: 0 
Node104 , Node0, Weight: 4004
Node0 , Node104, Weight: 0 
Node0 , Node-103, Weight: 421
Node-103 , Node0, Weight: 0 
Node-103 , Node0, Weight: 4004
Node0 , Node-103, Weight: 0 
Node0 , Node121, Weight: 38
Node121 , Node0, Weight: 0 
Node121 , Node0, Weight: 4004
Node0 , Node121, Weight: 0 
Node-968 , Node-968', Weight: 4397
Node-174 , Node-3, Weight: 548
Node6 , Node0, Weight: 5759
Node0 , Node6, Weight: 0 
Node0 , Node-40, Weight: 866
Node-40 , Node0, Weight: 0 
Node-40 , Node-112, Weight: 573
Node-112 , Node-40, Weight: 0 
Node-112 , Node-26, Weight: 426
Node-26 , Node-112, Weight: 0 
Node-26 , Node60, Weight: 120
Node60 , Node-26, Weight: 0 
Node60 , Node-31, Weight: 364
Node-31 , Node60, Weight: 0 
Node-31 , Node0, Weight: 5759
Node0 , Node-31, Weight: 0 
Node0 , Node63, Weight: 641
Node63 , Node0, Weight: 0 
Node63 , Node0, Weight: 5759
Node0 , Node63, Weight: 0 
Node0 , Node0, Weight: 5759
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 5759
Node0 , Node0, Weight: 0 
Node-174 , Node-174', Weight: 5510
Node-185 , Node0, Weight: 6534
Node0 , Node23, Weight: 131
Node23 , Node0, Weight: 0 
Node23 , Node10, Weight: 1
Node10 , Node23, Weight: 0 
Node10 , Node-86, Weight: 363
Node-86 , Node10, Weight: 0 
Node-86 , Node10, Weight: 1
Node10 , Node-86, Weight: 0 
Node10 , Node97, Weight: 51
Node97 , Node10, Weight: 0 
Node97 , Node-134, Weight: 561
Node-134 , Node97, Weight: 0 
Node-185 , Node-185', Weight: 1872
Node820 , Node0, Weight: 11636
Node57 , Node69, Weight: 116
Node69 , Node57, Weight: 0 
Node69 , Node-140, Weight: 733
Node-140 , Node69, Weight: 0 
Node-140 , Node9, Weight: 308
Node9 , Node-140, Weight: 0 
Node9 , Node0, Weight: 11626
Node0 , Node9, Weight: 0 
Node0 , Node118, Weight: 426
Node118 , Node0, Weight: 0 
Node118 , Node143, Weight: 838
Node143 , Node118, Weight: 0 
Node143 , Node28, Weight: 84
Node28 , Node143, Weight: 0 
Node28 , Node-110, Weight: 111
Node-110 , Node28, Weight: 0 
Node-110 , Node103, Weight: 155
Node103 , Node-110, Weight: 0 
Node103 , Node0, Weight: 11626
Node0 , Node103, Weight: 0 
Node0 , Node66, Weight: 320
Node66 , Node0, Weight: 0 
Node66 , Node44, Weight: 479
Node44 , Node66, Weight: 0 
Node44 , Node0, Weight: 11626
Node0 , Node44, Weight: 0 
Node0 , Node77, Weight: 1011
Node77 , Node0, Weight: 0 
Node77 , Node86, Weight: 1782
Node86 , Node77, Weight: 0 
Node86 , Node-38, Weight: 336
Node-38 , Node86, Weight: 0 
Node-38 , Node8, Weight: 985
Node8 , Node-38, Weight: 0 
Node8 , Node-137, Weight: 186
Node-137 , Node8, Weight: 0 
Node-137 , Node10, Weight: 1
Node10 , Node-137, Weight: 0 
Node10 , Node0, Weight: 11626
Node0 , Node10, Weight: 0 
Node0 , Node0, Weight: 11626
Node0 , Node0, Weight: 0 
Node0 , Node112, Weight: 302
Node112 , Node0, Weight: 0 
Node112 , Node117, Weight: 438
Node117 , Node112, Weight: 0 
Node117 , Node10, Weight: 1
Node10 , Node117, Weight: 0 
Node10 , Node82, Weight: 310
Node82 , Node10, Weight: 0 
Node82 , Node-64, Weight: 15
Node-64 , Node82, Weight: 0 
Node-64 , Node111, Weight: 965
Node111 , Node-64, Weight: 0 
Node111 , Node-148, Weight: 536
Node-148 , Node111, Weight: 0 
Node-148 , Node98, Weight: 38
Node98 , Node-148, Weight: 0 
Node98 , Node0, Weight: 11626
Node0 , Node98, Weight: 0 
Node0 , Node0, Weight: 11626
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 11626
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 11626
Node0 , Node0, Weight: 0 
Node0 , Node65, Weight: 548
Node65 , Node0, Weight: 0 
Node65 , Node43, Weight: 455
Node43 , Node65, Weight: 0 
Node43 , Node-25, Weight: 318
Node-25 , Node43, Weight: 0 
Node-25 , Node-46, Weight: 408
Node-46 , Node-25, Weight: 0 
Node-46 , Node0, Weight: 11626
Node0 , Node-46, Weight: 0 
Node0 , Node-136, Weight: 459
Node-136 , Node0, Weight: 0 
Node-136 , Node-32, Weight: 61
Node-32 , Node-136, Weight: 0 
Node-32 , Node0, Weight: 11626
Node0 , Node-32, Weight: 0 
Node820 , Node820', Weight: 18476
Node717 , Node-36, Weight: 463
Node85 , Node-100, Weight: 708
Node-100 , Node85, Weight: 0 
Node-100 , Node133, Weight: 115
Node133 , Node-100, Weight: 0 
Node133 , Node0, Weight: 12670
Node0 , Node133, Weight: 0 
Node0 , Node-82, Weight: 589
Node-82 , Node0, Weight: 0 
Node-82 , Node0, Weight: 12670
Node0 , Node-82, Weight: 0 
Node0 , Node-121, Weight: 284
Node-121 , Node0, Weight: 0 
Node-121 , Node1, Weight: 77
Node1 , Node-121, Weight: 0 
Node1 , Node-133, Weight: 43
Node-133 , Node1, Weight: 0 
Node-133 , Node81, Weight: 643
Node81 , Node-133, Weight: 0 
Node81 , Node10, Weight: 1
Node10 , Node81, Weight: 0 
Node10 , Node0, Weight: 12670
Node0 , Node10, Weight: 0 
Node0 , Node-147, Weight: 99
Node-147 , Node0, Weight: 0 
Node-147 , Node0, Weight: 12670
Node0 , Node-147, Weight: 0 
Node0 , Node83, Weight: 754
Node83 , Node0, Weight: 0 
Node83 , Node0, Weight: 12670
Node0 , Node83, Weight: 0 
Node0 , Node36, Weight: 155
Node36 , Node0, Weight: 0 
Node36 , Node50, Weight: 6
Node50 , Node36, Weight: 0 
Node50 , Node-23, Weight: 1770
Node-23 , Node50, Weight: 0 
Node-23 , Node-51, Weight: 480
Node-51 , Node-23, Weight: 0 
Node-51 , Node76, Weight: 64
Node76 , Node-51, Weight: 0 
Node717 , Node717', Weight: 7558
Node30 , Node-60, Weight: 1063
Node13 , Node-29, Weight: 369
Node-29 , Node13, Weight: 0 
Node-29 , Node-128, Weight: 3619
Node-128 , Node-29, Weight: 0 
Node-128 , Node0, Weight: 13157
Node0 , Node-128, Weight: 0 
Node0 , Node52, Weight: 149
Node52 , Node0, Weight: 0 
Node52 , Node0, Weight: 13157
Node0 , Node52, Weight: 0 
Node0 , Node-13, Weight: 85
Node-13 , Node0, Weight: 0 
Node-13 , Node121, Weight: 38
Node121 , Node-13, Weight: 0 
Node121 , Node10, Weight: 1
Node10 , Node121, Weight: 0 
Node10 , Node119, Weight: 109
Node119 , Node10, Weight: 0 
Node119 , Node84, Weight: 62
Node84 , Node119, Weight: 0 
Node84 , Node10, Weight: 1
Node10 , Node84, Weight: 0 
Node10 , Node-106, Weight: 10
Node-106 , Node10, Weight: 0 
Node-106 , Node0, Weight: 13157
Node0 , Node-106, Weight: 0 
Node30 , Node30', Weight: 6358
Node635 , Node0, Weight: 19282
Node-15 , Node0, Weight: 19272
Node0 , Node-15, Weight: 0 
Node0 , Node136, Weight: 609
Node136 , Node0, Weight: 0 
Node136 , Node0, Weight: 19272
Node0 , Node136, Weight: 0 
Node0 , Node0, Weight: 19272
Node0 , Node0, Weight: 0 
Node0 , Node121, Weight: 38
Node121 , Node0, Weight: 0 
Node121 , Node50, Weight: 6
Node50 , Node121, Weight: 0 
Node50 , Node-90, Weight: 1018
Node-90 , Node50, Weight: 0 
Node-90 , Node0, Weight: 19272
Node0 , Node-90, Weight: 0 
Node0 , Node0, Weight: 19272
Node0 , Node0, Weight: 0 
Node0 , Node87, Weight: 44
Node87 , Node0, Weight: 0 
Node87 , Node0, Weight: 19272
Node0 , Node87, Weight: 0 
Node0 , Node-80, Weight: 138
Node-80 , Node0, Weight: 0 
Node-80 , Node50, Weight: 6
Node50 , Node-80, Weight: 0 
Node50 , Node127, Weight: 219
Node127 , Node50, Weight: 0 
Node127 , Node0, Weight: 19272
Node0 , Node127, Weight: 0 
Node0 , Node0, Weight: 19272
Node0 , Node0, Weight: 0 
Node0 , Node116, Weight: 293
Node116 , Node0, Weight: 0 
Node116 , Node0, Weight: 19272
Node0 , Node116, Weight: 0 
Node0 , Node-143, Weight: 109
Node-143 , Node0, Weight: 0 
Node-143 , Node50, Weight: 6
Node50 , Node-143, Weight: 0 
Node50 , Node0, Weight: 19272
Node0 , Node50, Weight: 0 
Node0 , Node0, Weight: 19272
Node0 , Node0, Weight: 0 
Node0 , Node50, Weight: 6
Node50 , Node0, Weight: 0 
Node50 , Node-131, Weight: 379
Node-131 , Node50, Weight: 0 
Node-131 , Node0, Weight: 19272
Node0 , Node-131, Weight: 0 
Node635 , Node635', Weight: 9549
Node-924 , Node-132, Weight: 606
Node0 , Node0, Weight: 22272
Node0 , Node0, Weight: 0 
Node0 , Node-114, Weight: 759
Node-114 , Node0, Weight: 0 
Node-114 , Node0, Weight: 22272
Node0 , Node-114, Weight: 0 
Node0 , Node120, Weight: 49
Node120 , Node0, Weight: 0 
Node120 , Node0, Weight: 22272
Node0 , Node120, Weight: 0 
Node0 , Node0, Weight: 22272
Node0 , Node0, Weight: 0 
Node0 , Node137, Weight: 599
Node137 , Node0, Weight: 0 
Node137 , Node-63, Weight: 246
Node-63 , Node137, Weight: 0 
Node-63 , Node106, Weight: 1092
Node106 , Node-63, Weight: 0 
Node106 , Node0, Weight: 22272
Node0 , Node106, Weight: 0 
Node0 , Node0, Weight: 22272
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 22272
Node0 , Node0, Weight: 0 
Node-924 , Node-924', Weight: 6334
Node-429 , Node58, Weight: 565
Node-119 , Node0, Weight: 49295
Node0 , Node-119, Weight: 0 
Node0 , Node123, Weight: 165
Node123 , Node0, Weight: 0 
Node123 , Node0, Weight: 49295
Node0 , Node123, Weight: 0 
Node0 , Node-85, Weight: 146
Node-85 , Node0, Weight: 0 
Node-85 , Node-125, Weight: 535
Node-125 , Node-85, Weight: 0 
Node-125 , Node0, Weight: 49295
Node0 , Node-125, Weight: 0 
Node0 , Node147, Weight: 50
Node147 , Node0, Weight: 0 
Node147 , Node50, Weight: 6
Node50 , Node147, Weight: 0 
Node50 , Node-62, Weight: 46
Node-62 , Node50, Weight: 0 
Node-62 , Node0, Weight: 49295
Node0 , Node-62, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node53, Weight: 48
Node53 , Node0, Weight: 0 
Node53 , Node-24, Weight: 516
Node-24 , Node53, Weight: 0 
Node-24 , Node71, Weight: 273
Node71 , Node-24, Weight: 0 
Node71 , Node-16, Weight: 457
Node-16 , Node71, Weight: 0 
Node-16 , Node132, Weight: 354
Node132 , Node-16, Weight: 0 
Node132 , Node0, Weight: 49295
Node0 , Node132, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node146, Weight: 565
Node146 , Node0, Weight: 0 
Node146 , Node0, Weight: 49295
Node0 , Node146, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node114, Weight: 724
Node114 , Node0, Weight: 0 
Node114 , Node0, Weight: 49295
Node0 , Node114, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node17, Weight: 165
Node17 , Node0, Weight: 0 
Node17 , Node-98, Weight: 134
Node-98 , Node17, Weight: 0 
Node-98 , Node0, Weight: 49295
Node0 , Node-98, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node-95, Weight: 953
Node-95 , Node0, Weight: 0 
Node-95 , Node-118, Weight: 152
Node-118 , Node-95, Weight: 0 
Node-118 , Node-74, Weight: 348
Node-74 , Node-118, Weight: 0 
Node-74 , Node-65, Weight: 3563
Node-65 , Node-74, Weight: 0 
Node-65 , Node0, Weight: 49295
Node0 , Node-65, Weight: 0 
Node0 , Node-91, Weight: 622
Node-91 , Node0, Weight: 0 
Node-91 , Node99, Weight: 929
Node99 , Node-91, Weight: 0 
Node99 , Node26, Weight: 1036
Node26 , Node99, Weight: 0 
Node26 , Node-89, Weight: 1724
Node-89 , Node26, Weight: 0 
Node-89 , Node0, Weight: 49295
Node0 , Node-89, Weight: 0 
Node0 , Node130, Weight: 735
Node130 , Node0, Weight: 0 
Node130 , Node-57, Weight: 925
Node-57 , Node130, Weight: 0 
Node-57 , Node-83, Weight: 1473
Node-83 , Node-57, Weight: 0 
Node-83 , Node0, Weight: 49295
Node0 , Node-83, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node0, Weight: 49295
Node0 , Node0, Weight: 0 
Node0 , Node122, Weight: 2220
Node122 , Node0, Weight: 0 
Node122 , Node55, Weight: 197
Node55 , Node122, Weight: 0 
Node55 , Node0, Weight: 49295
Node0 , Node55, Weight: 0 
Node0 , Node72, Weight: 514
Node72 , Node0, Weight: 0 
